rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Diorite,-121.7310,46.3893,62.35,0.89,17.29,5.36,0.11,2.61,6.43,3.46,1.29,0.22
Diorite,-121.7112,46.4120,62.40,0.74,18.18,5.09,0.09,2.58,5.79,3.90,0.99,0.23
Dacite,-121.7307,46.4403,63.15,1.23,15.51,7.28,0.16,1.64,3.65,5.82,1.10,0.46
Dacite,-121.6617,46.4338,63.57,1.41,14.38,7.83,0.15,1.60,3.25,4.98,2.42,0.40
Diorite,-121.7377,46.4420,63.89,0.65,17.04,4.63,0.08,2.73,4.54,4.71,1.56,0.18
Diorite,-121.7350,46.4545,64.80,0.76,16.72,4.72,0.07,2.64,4.67,4.34,1.06,0.21
Diorite,-121.6725,46.4373,65.19,0.62,16.74,4.35,0.05,2.35,4.89,4.48,1.15,0.19
Dacite tuff,-121.6390,46.4065,65.04,1.21,14.82,6.44,0.12,2.06,6.74,3.13,0.26,0.19
Granodiorite,-121.6500,46.4407,65.01,0.64,17.50,4.44,0.10,1.93,5.46,4.07,0.66,0.19
Diorite,-121.6862,46.4507,65.20,0.63,17.02,4.43,0.09,1.95,4.96,4.35,1.19,0.19
Diorite,-121.6928,46.4382,65.33,0.66,16.98,4.47,0.10,2.03,4.42,4.38,1.44,0.19
Diorite,-121.6702,46.4187,65.48,0.65,16.76,4.39,0.08,1.95,4.92,4.04,1.55,0.18
Diorite,-121.6748,46.3933,65.65,0.59,16.74,4.15,0.06,2.17,4.89,4.29,1.28,0.17
Diorite,-121.6890,46.4120,66.30,0.61,16.42,4.06,0.08,1.21,5.50,4.21,1.43,0.18
Diorite,-121.6293,46.3802,66.87,0.57,16.64,4.00,0.06,1.82,4.10,4.58,1.19,0.17
Intrusion,-121.7440,47.1640,59.49,0.82,16.37,7.83,0.16,3.60,7.67,2.86,1.04,0.14
Rhyolite tuff,-121.8280,47.1550,74.78,0.39,13.47,2.18,0.03,0.24,0.96,3.16,4.74,0.05
Andesite,-121.8250,47.1550,62.55,0.80,16.50,6.16,0.09,3.09,5.53,3.24,1.88,0.16
Andesite,-121.8270,47.1550,61.73,0.97,16.35,6.92,0.10,3.46,5.42,3.17,1.70,0.18
Dacite intrusion,-121.8380,47.1610,70.81,0.88,13.90,5.71,0.12,0.46,1.87,3.06,2.97,0.22
Andesite,-121.7220,47.1650,61.41,0.96,16.75,5.89,0.12,3.11,7.02,2.81,1.73,0.20
Rhyolite tuff,-121.7240,47.1650,74.36,0.38,13.05,2.68,0.03,0.52,2.11,2.88,3.90,0.09
Andesite,-121.7250,47.1640,64.84,0.97,16.15,7.39,0.08,2.76,3.49,2.69,1.46,0.17
Andesite,-121.7310,47.1640,63.66,0.89,15.78,6.05,0.10,2.43,5.53,3.31,2.07,0.18
Andesite,-121.8610,47.1560,60.21,0.87,17.49,6.61,0.15,3.12,6.82,3.10,1.46,0.16
Andesite,-121.8610,47.1560,63.16,0.78,15.94,5.64,0.09,3.36,5.96,3.31,1.58,0.17
Rhyolite tuff,-121.8630,47.1590,76.99,0.35,13.73,0.70,0,0,0.43,2.79,4.98,0.03
Andesite,-121.7150,47.1610,63.63,0.81,16.48,6.07,0.08,2.25,5.49,3.32,1.72,0.16
Diorite,-121.7250,47.1700,59.55,0.94,16.98,7.33,0.13,3.60,6.91,3.27,1.11,0.17
Andesite,-121.7240,47.1700,61.86,0.88,16.91,6.03,0.11,2.77,6.29,3.43,1.56,0.16
Andesite,-121.7830,47.1710,62.42,0.78,16.41,6.36,0.13,3.08,6.29,2.84,1.53,0.15
Dacite intrusion,-121.7410,47.1660,66.40,0.75,15.48,5.10,0.09,2.43,4.87,2.82,1.91,0.15
Diorite,-121.7410,47.1670,59.47,1.00,17.57,8.09,0.14,3.25,5.95,3.23,1.10,0.18
Andesite,-121.7460,47.1780,60.06,0.91,16.58,7.12,0.13,4.05,6.49,3.05,1.45,0.16
Andesite,-121.7390,47.1840,58.47,1.07,16.88,7.23,0.16,3.47,7.55,2.96,1.99,0.22
Andesite,-121.8260,47.1680,60.67,1.20,15.69,8.19,0.14,2.77,6.38,3.16,1.58,0.21
Andesite,-121.8280,47.1750,58.71,1.13,17.04,6.79,0.17,3.55,7.63,2.87,1.91,0.20
Basalt,-121.0620,46.9430,51.42,1.24,19.24,9.48,0.19,4.24,9.77,2.98,1.12,0.32
Basaltic andesite,-120.9970,46.9410,52.30,1.18,18.57,9.34,0.17,4.93,8.95,3.03,1.23,0.28
Basaltic andesite,-121.0190,46.9510,52.17,1.25,19.60,8.71,0.14,4.12,9.56,3.04,1.13,0.28
Basaltic andesite,-121.0160,46.9330,52.46,1.20,19.72,8.41,0.16,4.61,9.35,2.79,1.01,0.29
Basaltic andesite,-120.9660,46.9590,52.50,1.37,18.59,9.13,0.17,4.16,9.35,2.97,1.41,0.36
Basaltic andesite,-120.9960,46.9320,52.82,1.28,19.38,9.40,0.17,3.46,9.03,3.02,1.13,0.31
Basaltic andesite,-120.9830,46.9300,53.03,1.50,17.68,10.64,0.17,3.88,8.13,3.19,1.36,0.43
Basaltic andesite,-121.0300,46.9490,53.06,1.38,19.32,8.88,0.17,3.33,8.96,3.34,1.22,0.35
Basaltic andesite,-120.9880,46.9540,53.18,1.34,17.98,9.80,0.17,4.11,8.36,3.26,1.38,0.43
Basaltic andesite,-121.0160,46.9330,53.46,1.22,19.40,9.00,0.17,3.32,8.65,3.37,1.07,0.32
Basaltic andesite,-121.0380,46.9570,53.46,1.31,20.17,8.43,0.15,2.69,8.97,3.38,1.13,0.31
Basaltic andesite,-121.0250,46.9680,53.63,1.13,19.56,8.19,0.16,3.38,8.81,3.52,1.27,0.34
Basaltic andesite,-121.0310,46.9550,53.92,1.38,17.95,9.73,0.19,3.98,7.94,3.35,1.22,0.34
Basaltic andesite,-121.0310,46.9550,54.27,1.40,18.01,9.33,0.19,3.95,7.93,3.31,1.24,0.37
,,,,,,,,,,,,
Basaltic andesite,-121.0190,46.9510,53.96,1.20,19.73,7.96,0.14,3.73,8.97,2.78,1.21,0.30
Basaltic andesite,-121.0200,46.9700,55.34,1.04,18.52,8.99,0.18,3.32,7.67,3.58,1.01,0.34
Basaltic andesite,-121.0010,46.9680,55.58,1.46,17.22,10.08,0.20,3.33,6.79,3.21,1.68,0.46
Basaltic andesite,-120.9980,46.9690,54.45,1.53,18.43,9.72,0.20,3.21,6.71,3.34,1.97,0.43
Andesite,-121.0150,46.9690,57.77,0.93,18.40,8.36,0.19,2.29,6.56,3.86,1.25,0.39
Andesite,-120.9890,46.9520,58.69,1.50,16.65,8.55,0.16,2.28,5.92,3.62,2.06,0.58
Andesite,-121.0620,46.9450,58.75,0.95,19.36,6.00,0.13,1.84,7.07,3.62,1.89,0.39
Andesite,-121.0030,46.9460,60.50,1.20,17.04,7.46,0.18,2.22,5.19,3.72,1.98,0.51
Dacite,-121.0650,46.9450,66.08,0.75,16.29,5.33,0.10,0.76,3.46,4.05,2.91,0.25
Basaltic andesite,-121.0100,46.9140,53.00,1.14,18.41,8.51,0.17,5.10,9.22,3.10,1.00,0.34
Basaltic andesite,-121.0050,46.9110,53.39,1.13,18.25,8.68,0.15,5.46,8.98,2.82,0.79,0.34
Basaltic andesite,-121.0490,46.9830,53.73,1.22,18.21,9.22,0.19,4.35,8.54,3.23,1.02,0.28
Basaltic andesite dike,-121.0580,46.9380,53.92,1.04,18.74,9.06,0.18,4.33,8.39,3.03,1.03,0.27
Basaltic andesite,-121.0590,46.9390,54.78,1.32,17.70,9.47,0.17,3.81,7.90,3.08,1.36,0.42
Basaltic andesite,-121.0680,46.9080,55.95,1.29,17.58,9.28,0.19,3.22,7.02,3.69,1.38,0.38
Andesite,-121.0220,46.9300,58.75,0.90,19.62,5.78,0.14,1.98,7.16,3.31,2.03,0.34
Andesite,-121.0910,46.9060,61.95,1.04,16.00,7.42,0.18,1.55,4.13,3.71,3.56,0.46
Andesite,-121.0590,46.9260,62.45,0.71,18.08,5.22,0.07,1.52,5.86,3.60,2.24,0.25
Andesite,-121.0130,46.9160,62.76,0.86,17.15,5.97,0.11,1.48,4.78,3.55,2.95,0.38
Dacite,-121.0230,46.9110,64.22,0.74,16.45,5.83,0.16,0.90,3.83,4.17,3.41,0.29
Basaltic andesite,-121.0100,46.8940,55.38,0.91,16.57,8.58,0.17,5.38,8.76,2.73,1.35,0.17
Andesite,-121.0740,46.8990,58.74,0.96,16.71,8.12,0.16,3.28,7.12,3.03,1.70,0.17
Andesite,-121.0970,46.8940,59.14,1.03,16.83,7.85,0.14,3.27,6.86,3.05,1.65,0.18
Andesite,-120.9940,46.8900,59.51,0.99,16.67,7.95,0.15,3.21,6.61,3.00,1.74,0.17
Andesite,-120.9940,46.8900,61.30,0.90,16.17,7.39,0.15,2.89,5.95,3.09,1.98,0.17
Andesite,-121.0490,46.8920,61.21,1.00,16.92,6.87,0.12,2.25,6.19,3.29,1.94,0.21
Andesite,-122.2820,46.6990,59.67,0.92,17.78,7.11,0.13,3.09,6.94,3.63,0.53,0.19
Basaltic andesite,-122.3090,46.6430,56.37,1.43,18.19,8.61,0.15,3.11,7.74,3.36,0.82,0.22
Basaltic andesite,-122.3270,46.6590,52.25,1.09,19.09,8.41,0.14,4.96,10.68,3.09,0.12,0.16
Basaltic andesite,-122.3380,46.6900,52.95,0.96,19.57,7.59,0.13,4.79,10.08,3.41,0.35,0.17
Andesite,-122.3600,46.6970,59.17,1.33,16.62,7.68,0.14,3.23,7.14,3.46,0.88,0.34
Andesite,-122.3240,46.7260,60.05,0.83,18.03,6.71,0.12,2.91,6.64,3.48,1.02,0.20
Basaltic andesite,-122.3960,46.7080,53.59,1.37,18.73,8.95,0.17,4.25,8.88,3.37,0.46,0.22
Basaltic andesite,-122.4250,46.7120,52.30,1.04,16.61,8.77,0.14,7.97,9.84,2.84,0.31,0.16
Basaltic andesite,-122.3940,46.7330,55.72,0.77,19.28,7.72,0.14,4.22,8.18,3.30,0.52,0.14
Basaltic andesite,-122.3790,46.6880,52.35,1.39,19.63,8.41,0.16,4.06,10.23,3.34,0.16,0.27
Andesite,-122.3950,46.6870,59.03,1.31,16.13,8.12,0.10,2.95,7.50,3.33,1.19,0.33
Basalt,-122.3900,46.7000,51.19,1.30,18.80,9.08,0.22,5.43,10.29,3.20,0.24,0.26
Basaltic andesite,-122.4100,46.6930,54.27,1.42,17.86,9.06,0.15,4.58,9.14,3.11,0.17,0.24
Basaltic andesite,-122.3760,46.7000,56.98,0.96,18.63,7.62,0.13,3.43,7.57,3.63,0.86,0.19
Basaltic andesite,-122.3860,46.7000,53.59,1.02,18.94,8.14,0.13,4.45,10.00,3.36,0.21,0.16
Basaltic andesite,-122.3690,46.6650,52.26,1.08,18.96,8.52,0.14,5.07,10.37,3.11,0.32,0.16
Andesite,-122.4630,46.6550,57.98,0.94,17.33,7.08,0.13,4.04,6.79,3.77,1.65,0.27
Andesite,-122.4260,46.6530,59.82,0.92,17.04,6.97,0.13,3.57,6.95,3.41,1.01,0.16
Basaltic andesite,-122.4370,46.6970,52.64,1.08,18.74,8.14,0.13,5.25,10.47,3.19,0.13,0.22
Basaltic andesite,-122.4600,46.7130,54.09,1.53,18.90,8.84,0.15,3.59,9.16,3.24,0.15,0.35
Basaltic andesite,-122.3510,46.6900,52.90,1.19,17.96,7.96,0.13,5.74,10.08,3.34,0.52,0.18
Andesite,-122.4590,46.6640,57.50,1.03,17.48,6.77,0.10,4.10,7.95,3.39,1.46,0.24
Basaltic andesite,-123.2490,46.3300,53.33,3.33,14.38,11.98,0.20,3.45,8.24,3.21,1.20,0.68
Basaltic andesite,-123.1880,46.3330,55.01,2.74,15.00,11.20,0.17,3.35,7.44,3.01,1.31,0.77
Basaltic andesite,-123.0530,46.2670,55.68,2.22,14.75,12.12,0.23,3.19,6.35,3.21,1.47,0.78
Basaltic andesite,-122.1012,44.7047,54.08,2.45,15.09,11.05,0.23,3.55,8.41,3.73,0.56,0.85
Basaltic andesite,-122.0400,44.7480,54.11,2.21,15.27,11.21,0.22,3.60,7.92,4.09,0.79,0.60
Basaltic andesite,-122.1420,44.7047,55.49,1.93,16.12,10.15,0.24,2.59,6.97,3.97,2.07,0.48
Basaltic andesite dike,-121.9992,44.8058,54.43,2.06,16.40,10.92,0.17,3.88,7.28,3.28,1.21,0.37
Basaltic andesite,-121.8972,44.7625,55.73,1.99,15.48,10.83,0.19,3.70,7.09,3.70,0.93,0.36
Andesite plug,-121.9176,44.7769,56.77,2.03,15.45,10.21,0.24,2.37,7.86,3.92,0.87,0.27
Andesite dike,-121.9788,44.7914,56.72,1.29,16.98,9.95,0.20,2.61,6.03,4.35,1.38,0.49
Andesite,-121.9584,44.8058,59.27,1.36,16.36,8.55,0.20,1.52,5.85,3.71,2.67,0.48
Andesite,-121.9992,44.8203,57.71,1.32,17.17,8.53,0.13,2.04,6.97,3.86,1.89,0.38
Andesite,-122.0808,44.8258,59.65,1.97,17.07,9.00,,3.12,2.29,3.71,2.80,0.38
Andesite,-122.1420,44.7047,61.05,1.82,17.78,5.83,,1.62,5.85,4.12,1.64,0.28
Dacite dike,-121.9584,44.8058,67.74,0.60,14.49,5.79,,0.84,3.41,3.85,3.17,0.11
Dacite tuff,-121.9176,44.7769,72.87,0.44,14.04,3.33,,0.41,3.27,3.32,2.24,0.07
Dacite tuff,-121.9380,44.7625,72.98,0.42,14.16,3.36,,0.36,4.14,2.69,1.82,0.07
Rhyolite tuff,-122.0604,44.7336,74.83,0.32,14.22,3.15,,0.32,0.60,3.96,2.53,0.05
Rhyolite dike,-122.0808,44.7769,75.40,0.36,14.05,2.79,,0.22,0.58,3.60,2.96,0.04
Rhyolite,-122.1828,44.6758,75.57,0.53,13.15,3.47,,0.10,1.09,4.59,1.41,0.08
Basaltic andesite,-122.2138,44.8955,54.42,1.13,19.71,7.12,0.12,3.94,8.74,3.78,0.76,0.26
Basaltic andesite,-122.2440,44.7625,54.32,1.10,17.91,7.59,0.19,5.16,9.08,3.27,1.09,0.29
Basaltic andesite,-122.3944,44.9597,55.33,1.06,18.14,7.44,0.14,5.69,7.62,3.37,1.04,0.17
Basaltic andesite,-122.3663,44.8610,56.31,0.93,17.29,7.17,0.14,5.77,8.00,3.29,0.93,0.16
Andesite,-122.2032,44.7914,60.42,0.94,17.24,6.16,0.11,3.77,6.60,3.53,1.00,0.24
Andesite,-122.4018,45.0509,59.05,0.94,17.66,6.47,0.11,3.94,6.66,3.57,1.42,0.17
Andesite,-122.0196,44.7336,61.19,1.00,16.48,6.34,0.12,2.56,6.52,3.51,2.09,0.20
Andesite,-122.2626,44.9243,61.11,0.87,17.11,6.15,0.08,2.86,5.95,3.93,1.76,0.18
Andesite,-121.9584,44.6758,61.66,0.74,16.48,6.11,0.13,3.13,6.48,3.50,1.62,0.14
Andesite plug,-122.1420,44.8203,61.45,0.74,17.38,5.34,0.09,3.26,6.15,3.91,1.53,0.14
Andesite,-122.2440,44.7480,63.40,1.08,15.83,6.06,0.11,2.82,4.62,4.08,1.74,0.26
Dacite,-122.3611,45.0694,64.63,0.73,17.03,4.51,0.07,2.26,4.18,4.97,1.40,0.22
Dacite tuff,-122.0400,44.7480,66.01,1.06,15.75,5.72,0.09,0.77,3.69,3.91,2.73,0.27
Dacite tuff,-122.2440,44.7625,68.39,0.85,15.41,4.07,0.06,0.67,2.76,5.00,2.60,0.19
Rhyolite,-122.1746,44.9819,73.71,0.39,14.14,2.31,0.03,0.31,1.94,3.91,3.22,0.05
Basaltic andesite,-122.2440,44.7625,53.74,1.05,18.14,8.47,0.14,5.82,8.98,2.88,0.62,0.15
Basaltic andesite,-122.2440,44.7625,52.69,1.13,18.85,7.71,0.15,6.02,9.30,3.11,0.83,0.19
Basaltic andesite,-122.2440,44.7625,53.87,0.99,20.52,7.56,0.14,3.73,8.92,3.44,0.72,0.12
Basaltic andesite,-122.2440,44.7625,54.22,1.06,18.95,7.81,0.15,4.74,8.48,3.40,1.00,0.19
Basaltic andesite,-122.2440,44.7625,53.60,1.01,18.10,8.47,0.13,5.98,8.76,3.04,0.72,0.18
Andesite,-122.2440,44.7625,58.58,1.05,18.54,7.06,0.12,3.25,6.96,3.66,0.65,0.13
Basaltic andesite,-122.2440,44.7625,54.53,1.12,19.36,7.13,0.11,4.56,8.51,3.33,1.11,0.25
Basaltic andesite,-121.9176,44.7336,54.46,1.10,18.19,8.32,0.14,4.44,8.58,3.59,0.87,0.31
Andesite,-122.1624,44.7914,59.57,0.92,17.09,5.83,0.09,3.53,6.71,4.07,1.84,0.37
Andesite,-122.0808,44.8203,60.53,0.84,16.84,6.31,0.13,3.98,6.23,3.43,1.53,0.18
Andesite,-122.1828,44.7914,60.24,0.74,16.89,5.53,0.09,4.47,6.64,3.43,1.82,0.13
Dacite,-122.1216,44.8203,68.29,0.78,15.99,3.78,0.07,1.03,3.62,4.39,1.86,0.18
Dacite tuff,-122.1420,44.7914,68.25,0.52,16.28,3.61,0.07,1.39,3.68,4.05,2.02,0.11
Dacite dike,-122.2032,44.7769,68.40,0.76,15.22,4.00,0.09,0.67,4.36,3.80,2.51,0.19
Dacite,-122.1624,44.7914,67.14,0.80,16.63,3.55,0.06,1.00,3.90,4.22,2.54,0.16
Basalt,-121.9380,44.8058,49.76,1.49,17.04,10.98,0.17,7.78,7.78,3.76,0.97,0.27
Basalt,-121.9176,44.7480,50.71,0.99,17.51,9.63,0.18,9.04,9.04,2.75,0.05,0.11
Basaltic andesite,-121.8972,44.7480,56.66,1.04,18.93,8.67,0.17,5.18,5.18,3.20,0.80,0.16
Andesite,-121.9380,44.7336,57.26,1.19,18.42,8.62,0.14,4.64,4.64,3.76,1.01,0.34
Andesite,-121.9584,44.7480,58.44,1.22,18.91,7.99,0.14,3.95,3.95,4.02,1.05,0.33
Andesite,-121.9584,44.7336,60.38,1.71,17.18,8.61,0.18,2.69,2.69,4.95,1.15,0.45
Dacite,-121.9380,44.7336,67.30,0.83,16.31,4.79,0.15,0.97,0.97,6.46,2.00,0.21
Basalt,-121.9584,44.7191,51.45,1.31,17.64,9.55,0.18,6.63,9.36,2.91,0.60,0.39
Basalt,-121.9584,44.7191,51.97,1.33,17.02,10.03,0.17,6.40,9.07,3.06,0.62,0.32
Basalt,-121.9788,44.7191,50.52,1.24,17.55,9.14,0.17,8.11,9.05,3.22,0.66,0.34
Basaltic andesite,-121.9380,44.7336,54.83,1.18,18.22,7.97,0.14,5.33,7.81,3.52,0.80,0.20
Basaltic andesite,-121.9992,44.7480,55.63,1.17,17.69,8.11,0.15,3.99,8.54,3.41,0.96,0.36
Basaltic plug,-121.9992,44.7480,56.93,1.06,18.82,6.69,0.10,2.90,8.35,3.63,1.15,0.36
Andesite plug,-121.9176,44.6902,59.27,1.00,16.89,6.91,0.13,2.89,6.84,3.61,2.05,0.40
Andesite dike,-121.9584,44.7769,60.39,0.71,16.73,6.06,0.12,4.31,6.23,3.61,1.70,0.13
Basalt dike,-121.9992,44.7336,50.49,1.45,17.67,10.60,0.19,6.11,9.74,2.99,0.44,0.33
Basaltic andesite,-121.9788,44.7336,54.24,1.18,17.26,7.78,0.15,4.63,8.98,3.65,1.68,0.45
Basaltic andesite,-121.9380,44.7191,54.68,1.22,16.64,7.97,0.15,5.27,9.77,2.96,1.01,0.33
Andesite,-121.9380,44.7336,58.13,0.93,16.54,7.30,0.15,5.04,7.40,3.21,1.12,0.17
Andesite,-122.2780,44.8590,58.98,0.95,16.68,8.54,,3.82,6.13,3.42,1.49,
Andesite,-122.2920,44.8470,61.14,0.75,18.98,6.33,,2.31,5.42,4.02,1.05,
Andesite,-122.2490,44.8590,57.99,0.78,21.79,6.17,,2.59,5.27,5.17,0.24,
Andesite,-122.2320,44.8460,63.07,1.69,18.46,7.89,,4.42,1.76,0.74,1.97,
Rhyolite,-122.1860,44.8500,78.49,0.15,13.35,1.89,,0.31,2.34,0.41,3.06,
Diorite,-122.2210,44.8510,52.35,1.51,21.44,9.86,,3.62,5.84,3.72,1.66,
Diorite,-122.2210,44.8510,56.79,1.31,18.26,8.57,,2.42,6.15,4.94,1.56,
Diorite,-122.2210,44.8510,62.34,1.13,16.49,7.62,,3.09,4.12,2.89,2.32,
Diorite,-122.1740,44.8580,54.93,1.20,19.27,10.08,,3.99,6.59,3.79,0.15,
Diorite,-122.1830,44.8540,55.11,1.29,19.50,9.15,,3.78,6.37,4.08,0.72,
Diorite,-122.2230,44.8440,54.83,1.20,19.14,8.22,,4.81,7.92,3.51,0.37,
Granodiorite,-122.2130,44.8510,64.40,0.70,16.62,5.51,,2.80,5.40,3.43,1.14,
Granodiorite,-122.2520,44.8750,63.68,0.65,17.31,5.72,,2.69,4.58,3.28,2.09,
Granodiorite,-122.2500,44.8730,66.06,0.66,15.73,5.04,,2.32,3.83,4.14,2.22,
Granodiorite,-122.2460,44.8400,65.34,0.69,16.92,4.50,,2.05,4.28,4.04,2.06,0.12
Granodiorite,-122.1930,44.8500,65.04,0.65,16.31,5.10,,1.90,5.80,3.60,1.60,
Granodiorite,-122.2170,44.8320,67.01,0.56,15.94,4.35,,1.89,3.75,3.31,3.09,0.10
Andesite,-122.3390,44.5800,59.45,0.95,17.55,6.12,0.12,3.45,6.81,4.59,0.75,0.19
Andesite,-122.3190,44.5700,65.10,1.10,16.48,6.20,0.16,2.63,1.20,6.46,0.34,0.34
Basalt,-122.3590,44.5800,53.41,1.11,17.97,7.41,0.12,5.16,11.15,2.79,0.59,0.29
Dacite,-122.2990,44.6100,66.12,0.81,15.80,4.73,0.10,1.62,3.21,4.65,2.74,0.22
Andesite,-122.2990,44.5800,60.68,0.91,17.29,5.70,0.11,2.95,6.72,3.85,1.56,0.22
Andesite,-122.2990,44.6000,57.25,1.07,19.10,6.51,0.12,3.58,8.37,3.40,0.36,0.24
Dacite,-122.2790,44.6100,70.47,0.68,12.60,2.76,0.06,0.43,7.22,2.79,2.93,0.05
Andesite,-122.2790,44.5400,57.78,1.01,18.59,6.03,0.12,4.54,8.03,3.03,0.67,0.19
Andesite,-122.2790,44.6100,58.93,0.11,18.79,7.07,0.11,3.41,7.44,3.44,0.43,0.26
Andesite,-122.2990,44.5800,54.76,0.99,16.00,8.03,0.13,5.67,9.49,2.94,1.60,0.39
Andesite,-122.3390,44.6100,56.82,1.49,15.96,9.00,0.16,3.62,7.09,3.78,1.77,0.32
Diorite,-122.2980,44.5940,61.26,0.92,18.50,5.72,0.10,2.51,4.88,4.04,1.86,0.20
Diorite,-122.2910,44.6010,53.30,0.99,18.07,7.45,0.17,6.25,8.46,3.56,1.58,0.17
Granite,-122.3130,44.5190,70.09,0.60,14.45,3.29,0.07,1.22,2.59,4.04,3.54,0.10
Diorite,-122.3480,44.5870,75.82,0.77,3.23,0.11,6.15,3.19,3.99,3.99,2.63,0.13
Granodiorite,-122.2830,44.5620,63.16,0.77,15.83,5.20,0.09,3.06,4.85,3.43,3.42,0.20
Quartz monzonite,-122.2810,44.6060,72.81,1.06,13.04,2.10,0.07,0.63,2.22,3.67,4.34,0.06
Aplite,-122.3680,44.5870,76.25,0.92,11.55,1.40,0.03,0.69,1.65,0.42,7.08,0.01
Basaltic andesite tuff,-122.3370,44.2320,55.91,1.10,18.54,7.52,,4.41,6.61,4.21,1.70,
Andesite tuff,-122.3460,44.2130,58.63,1.01,16.57,9.7,,5.96,4.95,2.83,0.35,
Andesite tuff,-122.3490,44.2060,61.83,1.12,17.66,6.9,,2.03,4.87,4.37,1.22,
Dacite tuff,-122.3410,44.2210,71.75,0.86,15.87,4.04,,0.91,0.51,5.05,1.01,
Basaltic andesite,-122.3390,44.2450,57.40,0.95,18.26,7.02,,4.21,8.23,3.51,0.40,
Basaltic andesite,-122.3500,44.2130,53.86,1.12,18.60,7.93,,5.28,8.94,3.86,0.41,
Basaltic andesite,-122.3660,44.2120,54.62,1.10,17.77,7.99,,5.89,8.49,3.89,0.25,
Basaltic andesite,-122.3270,44.2350,54.77,1.11,18.96,7.87,,5.24,8.88,3.03,0.15,
Basaltic andesite,-122.3310,44.2340,53.13,1.20,18.85,8.22,,5.91,9.32,3.11,0.25,
Dacite,-122.3560,44.2050,61.60,1.56,15.30,8.15,,2.52,4.53,4.33,2.01,
Granodiorite,-122.3560,44.2110,63.11,1.01,17.02,5.64,,3.44,2.84,3.55,3.39,
Granodiorite,-122.3240,44.2300,65.98,0.76,16.24,4.48,,2.23,3.86,3.86,2.59,
Granodiorite,-122.3620,44.2150,67.34,0.95,15.83,5.34,,2.13,2.39,3.89,2.10,0.02
Granodiorite,-122.3170,44.2350,69.48,0.46,15.85,3.00,,1.52,3.96,3.35,2.39,
Diorite,-122.3150,44.2460,62.05,0.82,17.04,5.08,,3.78,5.51,4.08,1.63,
Quartz diorite,-122.3540,44.2180,60.46,0.80,19.05,5.37,,2.89,6.44,3.93,1.04,0.01
Quartz diorite,-122.3660,43.2160,59.82,1.12,17.70,8.55,,3.87,4.48,3.56,0.92,
Silicic dike,-122.3220,44.2300,71.77,0.97,18.27,2.19,,0.51,0.20,1.94,4.13,
Basaltic andesite,-122.1810,45.7220,56.81,1.36,17.58,7.73,0.15,4.08,8.47,3.14,0.69,
Basaltic andesite,-122.2400,45.7530,55.14,1.04,17.96,7.53,0.16,5.01,10.13,2.51,0.52,
Andesite intrusion,-122.1940,45.7070,57.21,1.25,16.78,7.64,0.15,5.11,8.13,2.40,1.35,
Diorite,-122.1850,45.7230,60.17,0.62,16.35,7.13,0,3.81,6.99,3.29,1.65,
Quartz diorite,-122.2120,45.7220,59.24,1.12,17.27,6.08,0.14,3.66,6.71,4.37,1.42,
Quartz diorite,-122.2120,45.7340,61.02,0.91,17.41,6.08,0.11,3.24,6.27,4.05,0.91,
Granodiorite,-122.2010,45.7490,67.57,0.82,15.28,4.14,0.09,1.95,4.00,3.59,2.56,
Quartz monzodiorite,-122.2230,45.7220,63.28,1.02,16.28,5.69,0.10,2.76,5.22,3.69,1.95,
Quartz diorite,-122.2050,45.7590,60.94,0.83,17.38,6.58,0.10,3.72,4.14,4.55,1.76,
Aplite,-122.2220,45.7160,68.84,0.61,14.85,3.55,0.05,1.84,4.00,3.69,2.56,
Basaltic andesite,-122.1620,45.7700,59.57,1.06,18.94,3.19,,4.26,8.30,4.04,0.64,
Diorite,-122.1570,45.7880,53.31,1.32,18.45,8.18,,5.57,8.61,3.95,0.61,
Quartz diorite,-122.1650,45.8020,56.27,1.00,19.12,6.67,,3.49,8.57,4.28,0.60,
Quartz diorite,-122.1980,45.7920,58.62,0.81,18.16,6.28,,4.04,6.66,4.24,1.21,
Quartz diorite,-122.1530,45.8510,59.64,1.02,17.11,7.27,,3.89,5.94,4.10,1.02,
Granodiorite,-122.1960,45.7880,66.88,0.63,14.63,4.49,,1.88,4.81,4.60,2.09,
Granodiorite,-122.2040,45.7590,64.91,0.70,16.53,5.22,,1.79,4.18,4.38,2.29,
Granodiorite,-122.2830,45.7120,61.77,0.80,17.32,5.79,,2.70,5.31,4.31,2.00,
Granodiorite,-122.1910,45.7760,59.24,1.00,16.14,6.38,,4.31,6.62,5.91,0.40,
Granodiorite,-122.2050,45.7880,67.89,0.47,13.89,4.18,,2.19,4.39,4.49,2.51,
Granodiorite,-122.1900,45.7760,66.27,0.45,16.64,3.99,,2.39,4.78,3.59,1.89,
Aplite,-122.2040,45.7880,76.32,0.40,11.05,2.09,,0.40,1.71,3.82,4.22,
Dacite,-122.2250,44.8540,63.88,0.83,17.36,3.82,,2.89,5.48,3.62,2.12,
Dacite,-122.1840,44.8480,64.08,0.82,17.86,4.39,,2.24,5.00,4.18,1.43,
Basaltic andesite,-122.2420,44.7200,57.65,1.21,18.55,4.27,0.13,5.30,8.50,3.53,0.84,
