rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Basalt,-122.5147,46.2525,50.58,1.19,16.38,9.14,0.15,9.69,9.61,2.58,0.48,0.20
Basalt,-122.5072,46.2603,49.15,1.62,15.49,9.79,0.16,9.14,10.67,2.69,0.89,0.39
Basalt,-122.5300,46.2647,51.39,1.28,16.65,8.89,0.15,8.05,9.92,2.88,0.55,0.23
Basaltic andesite,-122.5711,46.2619,52.74,1.31,16.96,8.37,0.15,6.56,10.19,2.96,0.43,0.32
Basalt,-122.5844,46.3594,50.82,1.59,15.95,9.25,0.17,7.53,10.29,2.91,1.03,0.45
Basaltic andesite,-122.5594,46.2506,52.10,1.60,16.96,9.28,0.14,6.53,9.35,3.23,0.53,0.28
Basaltic andesite,-122.5706,46.3619,52.27,1.68,17.18,9.06,0.16,5.54,9.80,3.10,0.84,0.37
Basaltic andesite,-122.5753,46.3625,56.04,1.43,16.84,8.16,0.16,4.55,7.90,3.44,1.01,0.47
Basaltic andesite,-122.5219,46.2725,53.67,1.55,17.99,8.38,0.16,4.58,8.96,3.41,1.04,0.27
Basaltic andesite,-122.6094,46.3608,56.59,1.48,16.51,8.34,0.21,4.35,7.83,3.43,0.85,0.42
Basalt,-122.6483,46.1508,50.72,1.20,16.91,8.84,0.14,7.98,10.52,2.29,1.20,0.22
Basaltic andesite,-122.6331,46.2108,52.29,1.33,16.55,8.82,0.14,7.37,9.66,3.03,0.55,0.25
Basaltic andesite,-122.6294,46.2400,53.22,1.42,17.29,8.62,0.21,5.92,9.14,3.26,0.52,0.39
Basalt,-122.6131,46.3883,47.89,1.32,11.95,9.82,0.18,15.24,10.00,1.90,1.26,0.44
Basaltic andesite,-122.5850,46.3856,53.15,0.96,15.26,8.29,0.14,10.24,8.49,2.78,0.50,0.18
Basalt,-122.4261,46.3908,49.02,1.67,13.79,8.81,0.15,10.62,10.11,2.47,2.62,0.74
Basalt,-122.5944,46.3850,49.20,1.26,15.92,9.18,0.17,10.25,10.78,2.38,0.61,0.25
Basaltic andesite,-122.5742,46.3858,52.76,1.03,15.48,8.57,0.15,9.48,8.95,2.73,0.66,0.18
Basalt,-122.6192,46.4114,48.90,1.28,16.13,9.11,0.15,9.44,11.61,2.31,0.78,0.28
Basalt,-122.5461,46.3783,50.76,1.47,16.61,9.28,0.17,8.11,9.50,2.80,0.88,0.43
Basaltic andesite,-122.5667,46.3847,55.37,1.10,14.82,8.01,0.15,7.39,9.24,2.76,0.95,0.21
Basalt,-122.6208,46.3886,48.96,2.45,13.75,11.55,0.18,10.08,9.75,2.36,0.68,0.24
Basaltic andesite,-122.6108,46.4124,55.29,1.19,16.35,7.98,0.15,6.16,8.17,3.23,1.19,0.30
Basaltic andesite,-122.5828,46.4272,55.62,1.31,16.84,8.32,0.14,4.93,8.20,3.40,0.90,0.35
Basalt,-122.6017,46.3972,50.33,2.07,16.54,10.38,0.16,5.74,10.72,2.92,0.76,0.38
Basalt,-122.5389,46.0872,51.25,1.41,16.34,9.37,0.15,8.51,9.38,2.78,0.53,0.28
Basaltic andesite,-122.5797,46.0711,54.24,1.04,16.83,8.14,0.14,7.16,8.52,3.07,0.67,0.19
Diorite,-122.4010,45.9440,56.02,1.51,16.67,9.77,0.20,2.47,8.74,3.79,0.60,0.23
Basalt,-122.4198,45.9657,48.04,1.80,15.76,10.07,0.17,9.62,10.45,2.63,0.98,0.47
Basaltic andesite,-122.4420,45.9830,54.83,2.23,15.90,10.25,0.21,3.50,7.03,4.50,1.03,0.53
Diorite,-122.4280,45.9450,57.15,1.24,18.01,8.24,0.18,2.58,7.93,3.87,0.60,0.20
Basaltic andesite,-122.4870,45.8830,56.24,1.20,19.48,6.91,0.18,2.63,8.83,3.69,0.66,0.19
Diorite,-122.4430,45.9710,58.24,1.31,15.45,7.97,0.15,4.39,7.39,3.33,1.48,0.28
Basaltic andesite,-122.4360,45.9880,55.04,2.26,15.85,10.42,0.19,3.31,6.93,4.40,1.05,0.54
Dacite,-122.4840,45.8960,65.80,0.73,16.31,5.03,0.15,1.23,4.59,5.07,0.85,0.24
Basaltic andesite,-122.4170,45.9930,54.66,1.71,18.28,8.10,0.13,3.32,8.38,4.00,1.05,0.35
Basaltic andesite,-122.3810,45.9180,55.41,1.25,18.03,7.83,0.16,4.26,8.71,3.56,0.59,0.19
Andesite,-122.4330,45.9910,57.22,2.03,15.57,9.48,0.20,2.97,6.39,4.67,1.08,0.40
Dacite,-122.3770,45.9190,66.32,0.76,14.89,5.58,0.12,1.84,4.58,3.88,1.88,0.16
Dacite,-122.4560,45.9310,70.28,0.61,15.21,3.72,0.13,0.27,2.46,4.86,2.31,0.15
Basalt,-122.4670,45.9910,51.65,1.75,15.50,10.78,0.19,5.71,10.36,3.31,0.49,0.24
Basalt,-122.3890,45.9850,51.72,1.79,15.47,10.93,0.21,5.64,10.18,3.32,0.49,0.25
